label,phase,packet_bytes,tap,kind,cycles,xfer_cycles,stall_cycles,starved_cycles,idle_cycles,accept_rate,service_period_cycles,beats_per_cycle,bytes_per_cycle,stall_frac,starve_frac,dominant_state
shared-80mhz-probed,b2b-16,16,decrypt/chacha20.axis_in,handshake,254,4,8,206,36,0.3333333333333333,3.0,0.015748031496062992,0.25196850393700787,0.031496062992125984,0.8110236220472441,
shared-80mhz-probed,b2b-16,16,decrypt/chacha20.axis_out,handshake,254,4,0,250,0,1.0,1.0,0.015748031496062992,0.25196850393700787,0.0,0.984251968503937,
shared-80mhz-probed,b2b-16,16,decrypt/chacha20.from_pipeline,handshake,254,8,0,246,0,1.0,1.0,0.031496062992125984,,0.0,0.968503937007874,
shared-80mhz-probed,b2b-16,16,decrypt/chacha20.in_state,state,254,,,,,,,,,,,PLAINTEXT
shared-80mhz-probed,b2b-16,16,decrypt/chacha20.key_out,handshake,254,4,0,146,104,1.0,1.0,0.015748031496062992,,0.0,0.5748031496062992,
shared-80mhz-probed,b2b-16,16,decrypt/chacha20.out_state,state,254,,,,,,,,,,,PLAINTEXT
shared-80mhz-probed,b2b-16,16,decrypt/chacha20.to_pipeline,handshake,254,8,8,118,120,0.5,2.0,0.031496062992125984,,0.031496062992125984,0.4645669291338583,
shared-80mhz-probed,b2b-16,16,decrypt/poly1305.data_in,handshake,254,16,201,0,37,0.07373271889400922,13.5625,0.06299212598425197,1.0078740157480315,0.7913385826771654,0.0,
shared-80mhz-probed,b2b-16,16,decrypt/poly1305.from_compute,handshake,254,16,0,238,0,1.0,1.0,0.06299212598425197,,0.0,0.937007874015748,
shared-80mhz-probed,b2b-16,16,decrypt/poly1305.fsm,state,254,,,,,,,,,,,IDLE
shared-80mhz-probed,b2b-16,16,decrypt/poly1305.key_in,handshake,254,4,0,146,104,1.0,1.0,0.015748031496062992,,0.0,0.5748031496062992,
shared-80mhz-probed,b2b-16,16,decrypt/poly1305.tag_out,handshake,254,4,0,48,202,1.0,1.0,0.015748031496062992,,0.0,0.1889763779527559,
shared-80mhz-probed,b2b-16,16,decrypt/poly1305.to_compute,handshake,254,16,0,158,80,1.0,1.0,0.06299212598425197,,0.0,0.6220472440944882,
shared-80mhz-probed,b2b-16,16,decrypt/prep.axis_in,handshake,254,4,208,0,42,0.018867924528301886,53.0,0.015748031496062992,0.25196850393700787,0.8188976377952756,0.0,
shared-80mhz-probed,b2b-16,16,decrypt/prep.axis_out,handshake,254,16,201,0,37,0.07373271889400922,13.5625,0.06299212598425197,1.0078740157480315,0.7913385826771654,0.0,
shared-80mhz-probed,b2b-16,16,decrypt/prep.fsm,state,254,,,,,,,,,,,AAD_STATE
shared-80mhz-probed,b2b-16,16,decrypt/strip.axis_in,handshake,254,8,208,38,0,0.037037037037037035,27.0,0.031496062992125984,0.5039370078740157,0.8188976377952756,0.14960629921259844,
shared-80mhz-probed,b2b-16,16,decrypt/strip.axis_out,handshake,254,4,208,0,42,0.018867924528301886,53.0,0.015748031496062992,0.25196850393700787,0.8188976377952756,0.0,
shared-80mhz-probed,b2b-16,16,decrypt/strip.tag_out,handshake,254,4,0,190,60,1.0,1.0,0.015748031496062992,,0.0,0.7480314960629921,
shared-80mhz-probed,b2b-16,16,decrypt/verify.auth_tag,handshake,254,4,0,190,60,1.0,1.0,0.015748031496062992,,0.0,0.7480314960629921,
shared-80mhz-probed,b2b-16,16,decrypt/verify.calc_tag,handshake,254,4,0,48,202,1.0,1.0,0.015748031496062992,,0.0,0.1889763779527559,
shared-80mhz-probed,b2b-16,16,decrypt/verify.fsm,state,254,,,,,,,,,,,TAKE_AUTH_TAG
shared-80mhz-probed,b2b-16,16,decrypt/verify.tags_match,handshake,254,4,0,135,115,1.0,1.0,0.015748031496062992,,0.0,0.531496062992126,
shared-80mhz-probed,b2b-16,16,decrypt/wtv.axis_in,handshake,254,4,0,250,0,1.0,1.0,0.015748031496062992,0.25196850393700787,0.0,0.984251968503937,
shared-80mhz-probed,b2b-16,16,decrypt/wtv.axis_out,handshake,254,4,0,250,0,1.0,1.0,0.015748031496062992,0.25196850393700787,0.0,0.984251968503937,
shared-80mhz-probed,b2b-16,16,decrypt/wtv.fsm,state,254,,,,,,,,,,,WAIT_TO_VERIFY_BIT
shared-80mhz-probed,b2b-16,16,decrypt/wtv.verify_bit,handshake,254,4,0,135,115,1.0,1.0,0.015748031496062992,,0.0,0.531496062992126,
shared-80mhz-probed,b2b-16,16,encrypt/append.axis_in,handshake,254,4,0,194,56,1.0,1.0,0.015748031496062992,0.25196850393700787,0.0,0.7637795275590551,
shared-80mhz-probed,b2b-16,16,encrypt/append.axis_out,handshake,254,8,0,246,0,1.0,1.0,0.031496062992125984,0.5039370078740157,0.0,0.968503937007874,
shared-80mhz-probed,b2b-16,16,encrypt/append.fsm,state,254,,,,,,,,,,,CIPHERTEXT
shared-80mhz-probed,b2b-16,16,encrypt/append.tag_in,handshake,254,4,0,52,198,1.0,1.0,0.015748031496062992,,0.0,0.2047244094488189,
shared-80mhz-probed,b2b-16,16,encrypt/chacha20.axis_in,handshake,254,4,6,3,241,0.4,2.5,0.015748031496062992,0.25196850393700787,0.023622047244094488,0.011811023622047244,
shared-80mhz-probed,b2b-16,16,encrypt/chacha20.axis_out,handshake,254,4,52,0,198,0.07142857142857142,14.0,0.015748031496062992,0.25196850393700787,0.2047244094488189,0.0,
shared-80mhz-probed,b2b-16,16,encrypt/chacha20.from_pipeline,handshake,254,8,86,130,30,0.0851063829787234,11.75,0.031496062992125984,,0.33858267716535434,0.5118110236220472,
shared-80mhz-probed,b2b-16,16,encrypt/chacha20.in_state,state,254,,,,,,,,,,,POLY_KEY
